rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,censor_rate
93,0.0,0.48756851851851857,0.29647706355335846,0.40991702182871603,0.40991702182871603,0.0,0.05
94,0.0,0.5005543981481481,0.30829777485626686,0.2933843641540622,0.2933843641540622,0.0,0.05
95,0.0,0.5006826388888889,0.391571994565183,0.3628880936245391,0.3628880936245391,0.0,0.05
96,0.0,0.4993405092592593,0.23668745340084008,0.3392526014299454,0.3392526014299454,0.0,0.05
97,0.0,0.5036733796296297,0.27155326049369644,0.2648165678080956,0.2648165678080956,0.0,0.05
98,0.0,0.4951069444444444,0.24585804107315146,0.3352773785963772,0.3352773785963772,0.0,0.05
99,0.0,0.4973888888888889,0.21767045748535474,0.25956974443196235,0.25956974443196235,0.0,0.05
0,0.05,0.5701667824074074,0.12874767124612274,0.2513657325896098,0.25123940198485695,-0.00012633060475286673,0.065375
1,0.05,0.556632523148148,0.31687873947858003,0.32244444469997235,0.32244444469997235,0.0,0.06654166666666667
2,0.05,0.5490405092592593,0.1891697073552865,0.31868196740608645,0.31868196740608645,0.0,0.06563888888888889
3,0.05,0.551030787037037,0.1769320579135817,0.2600828890455654,0.2600475535275588,-3.533551800660728e-05,0.06555555555555556
4,0.05,0.5637733796296297,0.10673089429247273,0.1696731532899206,0.17014323492820815,0.000470081638287545,0.06686111111111111
5,0.05,0.5644334490740741,0.23734936630384562,0.47996922126191344,0.48007722133838027,0.00010800007646682985,0.06581944444444444
6,0.05,0.5534824074074074,0.25835470732400523,0.24149988867566885,0.24149856857704355,-1.320098625301469e-06,0.06718055555555555
7,0.05,0.5483508101851852,0.2841581962553721,0.30942815870900187,0.3096488399274081,0.0002206812184062379,0.06563888888888889
8,0.05,0.5614563657407406,0.34059393750063816,0.4205805711063776,0.4202859521546005,-0.0002946189517770703,0.06609722222222222
9,0.05,0.5741228009259259,0.39406194139028616,0.3481689314222818,0.34930003574922197,0.001131104326940191,0.06704166666666667
10,0.05,0.5465037037037037,0.3093195349629454,0.33412798504912444,0.33382535147036585,-0.0003026335787585932,0.06563888888888889
11,0.05,0.5713346064814814,0.028242039320611534,0.25011621072591106,0.24897833247375822,-0.0011378782521528352,0.06595833333333333
12,0.05,0.5553519675925925,0.20250617599309007,0.31255056587842234,0.31255056587842234,0.0,0.06708333333333333
13,0.05,0.5380454861111111,0.38921554041438233,0.39439035762083596,0.39434604103820103,-4.431658263492899e-05,0.06426388888888888
14,0.05,0.5727888888888889,0.2345068764964252,0.4115786509593101,0.41131033372528325,-0.00026831723402687135,0.06670833333333333
15,0.05,0.5807121527777778,0.25764728228031786,0.34219111099403454,0.34219111099403454,0.0,0.06643055555555556
16,0.05,0.5661015046296295,0.2986681050732506,0.3405989965163059,0.3405802253911745,-1.877112513137824e-05,0.06516666666666666
17,0.05,0.5550104166666666,0.05500411952515949,0.23440738714558196,0.233998952241408,-0.000408434904173971,0.06504166666666666
18,0.05,0.584242013888889,0.2798569408498853,0.3340316942806013,0.33428264467379487,0.00025095039319356083,0.06758333333333333
19,0.05,0.5687266203703704,0.11116217571772258,0.22091088581291884,0.22168318133087195,0.0007722955179531032,0.0659861111111111
20,0.05,0.5456827546296297,0.23926832902459683,0.1999402128932416,0.20038172492549755,0.0004415120322559529,0.06538888888888889
21,0.05,0.5726135416666667,0.2520108504461699,0.2583296273227199,0.2572656327580308,-0.0010639945646890858,0.06625
22,0.05,0.5502109953703703,0.2631508745540061,0.2840574065447178,0.2838499302766715,-0.0002074762680462916,0.06638888888888889
23,0.05,0.5554009259259258,0.2793930482808856,0.2863550309508772,0.2863550309508772,0.0,0.06456944444444444
24,0.05,0.5591895833333332,0.20345290707941044,0.31319533060981675,0.31319533060981675,0.0,0.06593055555555556
25,0.05,0.5557328703703703,0.264491677447663,0.39810541154185064,0.3978670731708258,-0.00023833837102482658,0.06527777777777778
26,0.05,0.5624403935185185,0.38842232640384033,0.4275862578198545,0.4285946391076384,0.0010083812877839105,0.0652361111111111
27,0.05,0.5647065972222223,0.23956877043757852,0.337322984317842,0.33749475338630797,0.00017176906846594342,0.06544444444444444
28,0.05,0.5714707175925926,0.21206869800817574,0.32195549927604683,0.32115401744741656,-0.0008014818286302683,0.06697222222222222
29,0.05,0.5549383101851851,0.3154457933267292,0.3469553818544241,0.347155610059395,0.0002002282049708981,0.06768055555555555
30,0.05,0.5732260416666667,0.3739498791086482,0.31691289386916943,0.3168574125250324,-5.548134413702055e-05,0.06681944444444445
31,0.05,0.5643547453703704,0.12060576433148529,0.36065227327012805,0.36094673080212913,0.00029445753200108005,0.06672222222222222
32,0.05,0.5843217592592592,0.30410451336026734,0.3408577823689499,0.3407871453014917,-7.063706745824572e-05,0.06731944444444445
33,0.05,0.5544626157407407,0.29360926085876293,0.29384874556132856,0.2938397634033668,-8.982157961745507e-06,0.06531944444444444
34,0.05,0.5587565972222223,0.10276158828150139,0.24994438211837666,0.2494525384314833,-0.0004918436868933673,0.06683333333333333
35,0.05,0.5593297453703704,0.1627359184649484,0.28907343650890305,0.2890057498558297,-6.768665307332888e-05,0.06643055555555556
36,0.05,0.5638170138888889,0.18956914910129075,0.22487502774604673,0.22507417614801684,0.0001991484019701062,0.06431944444444444
37,0.05,0.5595532407407408,0.18645572866344085,0.32321127526157933,0.32321127526157933,0.0,0.06675
38,0.05,0.5590436342592593,0.17461693803917377,0.25651451165663,0.2560864230050668,-0.00042808865156318543,0.06606944444444444
39,0.05,0.5611759259259259,0.4769122657677979,0.4553607577568236,0.4550977776554166,-0.00026298010140701766,0.06580555555555556
40,0.05,0.5535155092592592,0.25041212349798125,0.28186554965764177,0.282055626240733,0.00019007658309122544,0.06641666666666667
41,0.05,0.5704339120370371,0.2462398851519607,0.3205173834457654,0.32092029578767534,0.0004029123419099223,0.06693055555555555
42,0.05,0.5690258101851852,0.23233057839743287,0.2952829150423918,0.2950130251524288,-0.00026988988996301533,0.06544444444444444
43,0.05,0.5787987268518519,0.0036784417207945674,0.23066749572170164,0.2304770715434974,-0.0001904241782042515,0.06763888888888889
44,0.05,0.5497756944444445,0.2829441363426708,0.40756548743075505,0.40757779553256623,1.2308101811187022e-05,0.06590277777777778
45,0.05,0.5715753472222223,0.3928516673408319,0.4230700213329903,0.4225649242220916,-0.0005050971108987445,0.06697222222222222
46,0.05,0.5513608796296298,0.36618475033532527,0.3917148201479238,0.3917148201479238,0.0,0.0652361111111111
47,0.05,0.552485648148148,0.17457974441851598,0.29620720184682936,0.29657605554079003,0.000368853693960669,0.06631944444444444
48,0.05,0.5533464120370372,0.23925753135674477,0.2228018084574318,0.22260714032730256,-0.00019466813012924966,0.06533333333333333
49,0.05,0.5636034722222223,0.2737285262992427,0.3807818176432358,0.3808753295273226,9.351188408679434e-05,0.06641666666666667
50,0.05,0.5611672453703704,0.20354238282521453,0.21238261540095738,0.21235844981239882,-2.4165588558555662e-05,0.06594444444444444
51,0.05,0.5681506944444444,0.3302726133886832,0.40712171820050835,0.40744503066227056,0.0003233124617622041,0.06608333333333333
