survey,element,source_column,method,unit_reported,unit_factor_to_mg_per_kg,unit,lod_reported,lod_distinct_values,censored_n,censored_pct
NGSA,Sn,Sn ICP-MS mg/kg 0.2,ICP-MS,mg/kg,1.0,mg/kg,0.2,1,53,4.03
NGSA,Sr,Sr ICP-MS mg/kg 0.2,ICP-MS,mg/kg,1.0,mg/kg,0.2,1,0,0.0
NGSA,Ta,Ta ICP-MS mg/kg 0.02,ICP-MS,mg/kg,1.0,mg/kg,0.02,1,15,1.141
NGSA,Te,Te AR mg/kg 0.02,AR,mg/kg,1.0,mg/kg,0.02,1,524,39.848
NGSA,Th,Th ICP-MS mg/kg 0.02,ICP-MS,mg/kg,1.0,mg/kg,0.02,1,0,0.0
NGSA,Ti,Ti XRF mg/kg 30,XRF,mg/kg,1.0,mg/kg,30.0,1,0,0.0
NGSA,Tl,Tl AR mg/kg 0.02,AR,mg/kg,1.0,mg/kg,0.02,1,105,7.985
NGSA,U,U ICP-MS mg/kg 0.02,ICP-MS,mg/kg,1.0,mg/kg,0.02,1,0,0.0
NGSA,V,V ICP-MS mg/kg 0.1,ICP-MS,mg/kg,1.0,mg/kg,0.1,1,1,0.076
NGSA,W,W ICP-MS mg/kg 0.1,ICP-MS,mg/kg,1.0,mg/kg,0.1,1,62,4.715
NGSA,Y,Y ICP-MS mg/kg 0.05,ICP-MS,mg/kg,1.0,mg/kg,0.05,1,0,0.0
NGSA,Zn,Zn ICP-MS mg/kg 0.9,ICP-MS,mg/kg,1.0,mg/kg,0.9,1,27,2.053
NGSA,Zr,Zr ICP-MS mg/kg 0.2,ICP-MS,mg/kg,1.0,mg/kg,0.2,1,0,0.0
GEMAS,Ag,AG,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Al,AL,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,As,AS_,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Au,AU,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.0002,1,325,15.381
GEMAS,B,B,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.5,1,157,7.43
GEMAS,Ba,BA,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Be,BE,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.05,1,38,1.798
GEMAS,Bi,BI,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Ca,CA,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Cd,CD,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Ce,CE,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Co,CO,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Cr,CR,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Cs,CS,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Cu,CU,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Fe,FE,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Ga,GA,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Ge,GE,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.02,1,540,25.556
GEMAS,Hf,HF,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.01,1,329,15.57
GEMAS,Hg,HG,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,In,IN_,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.003,1,80,3.786
GEMAS,K,K,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,La,LA,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Li,LI,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Mg,MG,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Mn,MN,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Mo,MO,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Na,NA,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Nb,NB,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Ni,NI,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,P,P,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Pb,PB,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Pd,PD,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.001,1,1252,59.252
GEMAS,Pt,PT,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.001,1,1465,69.333
GEMAS,Rb,RB,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Re,RE,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.0005,1,1619,76.621
GEMAS,S,S,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,5.0,1,27,1.278
GEMAS,Sb,SB,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Sc,SC,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Se,SE,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.05,1,47,2.224
GEMAS,Sn,SN,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Sr,SR,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Ta,TA,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.005,1,1973,93.374
GEMAS,Te,TE,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.02,1,1172,55.466
GEMAS,Th,TH,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Ti,TI,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Tl,TL,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,U,U,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,V,V,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,W,W,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.01,1,35,1.656
GEMAS,Y,Y,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Zn,ZN,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,,0,0,0.0
GEMAS,Zr,ZR,"aqua regia, ICP-MS","mg/kg (asserted from the GEMAS aqua regia release, not carried in the file)",1.0,mg/kg,0.1,1,51,2.414
