rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,r2_pooled,r2_pooled_mask,mask_gain_pooled,inflation,censor_rate
97,0,0.50367337962962966,0.27155326049369644,0.26481656780809559,0.26481656780809559,0,0.25997886265884318,0.25997886265884318,0,-0.0048377051492524137,0.050000000000000003
98,0,0.49510694444444442,0.24585804107315146,0.33527737859637718,0.33527737859637718,0,0.34045516335476056,0.34045516335476056,0,0.0051777847583833747,0.050000000000000003
99,0,0.49738888888888888,0.21767045748535474,0.25956974443196235,0.25956974443196235,0,0.35199559482332421,0.35199559482332421,0,0.092425850391361863,0.050000000000000003
0,0.050000000000000003,0.57016678240740737,0.12874767124612274,0.25136573258960981,0.25123940198485695,-0.00012633060475286673,0.27381605909272966,0.27381605909272966,0,0.022450326503119844,0.065375000000000003
1,0.050000000000000003,0.55663252314814804,0.31687873947858003,0.32244444469997235,0.32244444469997235,0,0.35283664037238205,0.35283664037238205,0,0.030392195672409694,0.066541666666666666
2,0.050000000000000003,0.54904050925925929,0.18916970735528649,0.31868196740608645,0.31868196740608645,0,0.31456016951078414,0.31456016951078414,0,-0.0041217978953023149,0.065638888888888886
3,0.050000000000000003,0.55103078703703701,0.17693205791358169,0.26008288904556542,0.26004755352755882,-3.533551800660728e-05,0.3077372293472842,0.3077372293472842,0,0.047654340301718778,0.065555555555555561
4,0.050000000000000003,0.5637733796296297,0.10673089429247273,0.16967315328992061,0.17014323492820815,0.00047008163828754501,0.20252441015943912,0.20252441015943912,0,0.032851256869518508,0.066861111111111107
5,0.050000000000000003,0.56443344907407411,0.23734936630384562,0.47996922126191344,0.48007722133838027,0.00010800007646682985,0.45556005355288365,0.45556005355288365,0,-0.024409167709029789,0.065819444444444444
6,0.050000000000000003,0.5534824074074074,0.25835470732400523,0.24149988867566885,0.24149856857704355,-1.320098625301469e-06,0.31962929975437604,0.31962929975437604,0,0.078129411078707189,0.067180555555555549
7,0.050000000000000003,0.54835081018518517,0.28415819625537209,0.30942815870900187,0.3096488399274081,0.00022068121840623789,0.27832480863162434,0.27832480863162434,0,-0.031103350077377523,0.065638888888888886
8,0.050000000000000003,0.56145636574074065,0.34059393750063816,0.42058057110637759,0.42028595215460052,-0.00029461895177707031,0.43441445131852663,0.43441445131852663,0,0.013833880212149041,0.066097222222222224
9,0.050000000000000003,0.57412280092592594,0.39406194139028616,0.34816893142228178,0.34930003574922197,0.001131104326940191,0.38977180885920215,0.38977180885920215,0,0.041602877436920371,0.067041666666666666
10,0.050000000000000003,0.54650370370370371,0.3093195349629454,0.33412798504912444,0.33382535147036585,-0.0003026335787585932,0.30858930456314793,0.30858930456314793,0,-0.025538680485976517,0.065638888888888886
11,0.050000000000000003,0.57133460648148138,0.028242039320611534,0.25011621072591106,0.24897833247375822,-0.0011378782521528352,0.23521500781700966,0.23521500781700966,0,-0.014901202908901401,0.065958333333333327
12,0.050000000000000003,0.55535196759259253,0.20250617599309007,0.31255056587842234,0.31255056587842234,0,0.28204462572507272,0.28204462572507272,0,-0.03050594015334962,0.067083333333333328
13,0.050000000000000003,0.53804548611111114,0.38921554041438233,0.39439035762083596,0.39434604103820103,-4.4316582634928992e-05,0.44815233901872098,0.44815233901872098,0,0.053761981397885017,0.064263888888888884
14,0.050000000000000003,0.5727888888888889,0.23450687649642521,0.41157865095931012,0.41131033372528325,-0.00026831723402687135,0.37599288559036359,0.37599288559036359,0,-0.035585765368946531,0.066708333333333328
15,0.050000000000000003,0.58071215277777777,0.25764728228031786,0.34219111099403454,0.34219111099403454,0,0.33278394353299856,0.33278394353299856,0,-0.0094071674610359812,0.066430555555555562
16,0.050000000000000003,0.56610150462962949,0.29866810507325059,0.34059899651630587,0.3405802253911745,-1.8771125131378241e-05,0.28741131260796171,0.28741131260796171,0,-0.053187683908344163,0.065166666666666664
17,0.050000000000000003,0.55501041666666662,0.055004119525159489,0.23440738714558196,0.23399895224140799,-0.00040843490417397099,0.24486282902917478,0.24486282902917478,0,0.01045544188359282,0.065041666666666664
18,0.050000000000000003,0.58424201388888897,0.27985694084988533,0.33403169428060131,0.33428264467379487,0.00025095039319356083,0.32807231919003432,0.32807231919003432,0,-0.0059593750905669873,0.067583333333333329
19,0.050000000000000003,0.56872662037037036,0.11116217571772258,0.22091088581291884,0.22168318133087195,0.00077229551795310325,0.23904598062171734,0.23904598062171734,0,0.018135094808798491,0.065986111111111106
20,0.050000000000000003,0.54568275462962967,0.23926832902459683,0.1999402128932416,0.20038172492549755,0.00044151203225595292,0.20540458474474566,0.20540458474474566,0,0.0054643718515040574,0.065388888888888885
21,0.050000000000000003,0.57261354166666667,0.25201085044616989,0.25832962732271991,0.25726563275803083,-0.0010639945646890858,0.24916751629126843,0.24916751629126843,0,-0.0091621110314514809,0.066250000000000003
22,0.050000000000000003,0.55021099537037033,0.2631508745540061,0.28405740654471778,0.28384993027667149,-0.0002074762680462916,0.29515654982400241,0.29515654982400241,0,0.011099143279284629,0.066388888888888886
23,0.050000000000000003,0.55540092592592583,0.27939304828088563,0.28635503095087722,0.28635503095087722,0,0.2914137466498401,0.2914137466498401,0,0.005058715698962879,0.064569444444444443
24,0.050000000000000003,0.55918958333333324,0.20345290707941044,0.31319533060981675,0.31319533060981675,0,0.28463004674534209,0.28463004674534209,0,-0.028565283864474655,0.065930555555555562
25,0.050000000000000003,0.55573287037037034,0.264491677447663,0.39810541154185064,0.39786707317082581,-0.00023833837102482658,0.36446739341874701,0.36446739341874701,0,-0.03363801812310363,0.065277777777777782
26,0.050000000000000003,0.56244039351851849,0.38842232640384033,0.42758625781985449,0.4285946391076384,0.0010083812877839105,0.43161947276211321,0.43161947276211321,0,0.0040332149422587227,0.065236111111111106
27,0.050000000000000003,0.56470659722222227,0.23956877043757852,0.33732298431784202,0.33749475338630797,0.00017176906846594342,0.38933411815566898,0.38933411815566898,0,0.052011133837826962,0.065444444444444444
28,0.050000000000000003,0.5714707175925926,0.21206869800817574,0.32195549927604683,0.32115401744741656,-0.00080148182863026829,0.33171813050568544,0.33171813050568544,0,0.0097626312296386075,0.066972222222222225
29,0.050000000000000003,0.55493831018518514,0.31544579332672917,0.34695538185442409,0.34715561005939499,0.0002002282049708981,0.3685738429149793,0.3685738429149793,0,0.021618461060555205,0.067680555555555549
30,0.050000000000000003,0.57322604166666669,0.37394987910864819,0.31691289386916943,0.31685741252503241,-5.548134413702055e-05,0.36740211359576558,0.36740211359576558,0,0.050489219726596146,0.066819444444444445
31,0.050000000000000003,0.56435474537037045,0.12060576433148529,0.36065227327012805,0.36094673080212913,0.00029445753200108005,0.33222542955967627,0.33222542955967627,0,-0.028426843710451788,0.066722222222222224
32,0.050000000000000003,0.58432175925925922,0.30410451336026734,0.34085778236894992,0.34078714530149168,-7.0637067458245717e-05,0.31967679606091948,0.31967679606091948,0,-0.021180986308030447,0.067319444444444446
33,0.050000000000000003,0.55446261574074074,0.29360926085876293,0.29384874556132856,0.29383976340336682,-8.9821579617455072e-06,0.35475016106931911,0.35475016106931911,0,0.060901415507990553,0.065319444444444444
34,0.050000000000000003,0.55875659722222226,0.10276158828150139,0.24994438211837666,0.24945253843148329,-0.00049184368689336733,0.31067652122078249,0.31067652122078249,0,0.060732139102405824,0.066833333333333328
35,0.050000000000000003,0.55932974537037039,0.16273591846494839,0.28907343650890305,0.28900574985582972,-6.7686653073328884e-05,0.3038509039560422,0.3038509039560422,0,0.014777467447139148,0.066430555555555562
36,0.050000000000000003,0.56381701388888894,0.18956914910129075,0.22487502774604673,0.22507417614801684,0.00019914840197010619,0.2096529496644095,0.2096529496644095,0,-0.015222078081637225,0.064319444444444443
37,0.050000000000000003,0.55955324074074075,0.18645572866344085,0.32321127526157933,0.32321127526157933,0,0.2828045970136972,0.2828045970136972,0,-0.040406678247882133,0.066750000000000004
38,0.050000000000000003,0.55904363425925929,0.17461693803917377,0.25651451165662997,0.25608642300506679,-0.00042808865156318543,0.28221535841871903,0.28221535841871903,0,0.025700846762089058,0.066069444444444445
