rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,r2_pooled,r2_pooled_mask,mask_gain_pooled,inflation,censor_rate
30,0.0,0.5089475694444444,0.2472157716827046,0.4505026301111379,0.4505026301111379,0.0,0.39041614061433627,0.39041614061433627,0.0,-0.06008648949680162,0.05
31,0.0,0.48983958333333333,0.37596657918286547,0.36228529894397365,0.36228529894397365,0.0,0.33405490255320736,0.33405490255320736,0.0,-0.0282303963907663,0.05
32,0.0,0.49544490740740743,0.07336196483081037,0.26039342616210936,0.26039342616210936,0.0,0.2574371504301236,0.2574371504301236,0.0,-0.002956275731985758,0.05
33,0.0,0.49220902777777775,0.2810152682792749,0.39715835737507743,0.39715835737507743,0.0,0.3974962939378802,0.3974962939378802,0.0,0.0003379365628027875,0.05
34,0.0,0.5089630787037037,0.28253463639611476,0.3387774317127358,0.3387774317127358,0.0,0.3697433018593975,0.3697433018593975,0.0,0.030965870146661745,0.05
35,0.0,0.4898872685185185,0.030695652842385845,0.28074690286211224,0.28074690286211224,0.0,0.2810131398807507,0.2810131398807507,0.0,0.00026623701863848215,0.05
36,0.0,0.49961122685185183,0.21856014437264704,0.2300745129611087,0.2300745129611087,0.0,0.22618108612727628,0.22618108612727628,0.0,-0.003893426833832425,0.05
37,0.0,0.49905347222222224,0.1661985591971925,0.27464271844991517,0.27464271844991517,0.0,0.28238272716942436,0.28238272716942436,0.0,0.007740008719509195,0.05
38,0.0,0.5115775462962963,0.30858820351969285,0.48295517116960096,0.48295517116960096,0.0,0.44829209813629245,0.44829209813629245,0.0,-0.03466307303330851,0.05
39,0.0,0.5042184027777777,0.1324350816156743,0.3102147754099214,0.3102147754099214,0.0,0.30137972132932755,0.30137972132932755,0.0,-0.008835054080593818,0.05
40,0.0,0.49635127314814814,0.2631293904348403,0.32528497807055823,0.32528497807055823,0.0,0.32656435151117336,0.32656435151117336,0.0,0.001279373440615128,0.05
41,0.0,0.48951782407407407,0.1325939635115373,0.31074042989766215,0.31074042989766215,0.0,0.31351551444353665,0.31351551444353665,0.0,0.0027750845458744955,0.05
