disparity,censor_rate,n_reps,auc_mask,auc_mask_mean,auc_mask_lo,auc_mask_hi,r2_within,r2_within_mean,r2_within_lo,r2_within_hi,r2_loso,r2_loso_mean,r2_loso_lo,r2_loso_hi,r2_loso_mask,r2_loso_mask_mean,r2_loso_mask_lo,r2_loso_mask_hi,mask_gain,mask_gain_mean,mask_gain_lo,mask_gain_hi,r2_pooled,r2_pooled_mean,r2_pooled_lo,r2_pooled_hi,r2_pooled_mask,r2_pooled_mask_mean,r2_pooled_mask_lo,r2_pooled_mask_hi,mask_gain_pooled,mask_gain_pooled_mean,mask_gain_pooled_lo,mask_gain_pooled_hi,inflation,inflation_mean,inflation_lo,inflation_hi
0.5,0.21319722222222226,100,0.9095099537037037,0.9088065069444444,0.9072898148148149,0.9119810763888888,0.2469280929680731,0.24374740942285306,0.21436699559790928,0.26407162421164415,0.2534142167466293,0.26231852542392603,0.23789303110192317,0.27137769139044954,0.2533888518424354,0.2597663367637191,0.23926402330527485,0.2699906771770499,-0.0022343634752308716,-0.0025521886602069333,-0.005022803979392365,0.0001855369374447191,0.31971580907310565,0.3173791422577799,0.30039378759759067,0.33579783415593045,0.32216737651959493,0.3149419465829611,0.29823723523204654,0.3353365065981958,-0.0014149828759601468,-0.0024371956748188393,-0.0048072837280337954,0.0004082408870784704,0.05336382898500114,0.05506061683385392,0.04479145235658433,0.06349803991651332
0.55,0.23000111111111107,100,0.9268129050925926,0.9251297013888887,0.9241307870370369,0.9276013049768518,0.2471423903339885,0.24278765430263455,0.22711964760879677,0.2619224828217687,0.24810907183700992,0.2499761833161296,0.23500277253186946,0.2618582777242106,0.24685957920736512,0.2488347945371233,0.2318586665586443,0.27074006727656447,0.001546473526254366,-0.001141388779006376,-0.002576858596926912,0.00530741013918995,0.3295497735089367,0.32338506952990165,0.31290225058933474,0.34828261127644916,0.32917154639640545,0.31998463769025115,0.3058695323327485,0.34687240116244267,-0.0019951837864064514,-0.0034004318396505108,-0.004639246051425712,-0.0002343587145742232,0.06128510560704481,0.07340888621377198,0.04960072972691584,0.07487342866202577
0.6,0.2430401388888889,100,0.9358976273148149,0.9360813541666664,0.934003125,0.937461400462963,0.2440854530808022,0.24160891084987532,0.2309521149874072,0.2748760907349911,0.24114954670522865,0.24263551086934854,0.2239001163560756,0.26546667916008293,0.24063966573890744,0.2380478872183839,0.223233395771398,0.2625359252889176,-0.004956946600218726,-0.004587623650964574,-0.00788553951940113,-0.0016041599321721112,0.32415561503320206,0.32021108019589883,0.3045753178216489,0.34295914925136783,0.32239515816560044,0.32020092711443554,0.3041089054756209,0.3432250598158968,-0.00023929112566184463,-1.0153081463303292e-05,-0.0029343067855728266,0.002633759088094989,0.06310649385578537,0.07757556932655027,0.040835357333331046,0.07777821475684604
0.65,0.2622319444444444,100,0.950999074074074,0.9505733530092593,0.9482481481481483,0.9536984953703702,0.23880954022665374,0.24093945420669033,0.2276197547283063,0.25219054510233024,0.2485716883012291,0.21369229256293235,0.22488204238674897,0.2614381024301261,0.24288432200466376,0.21334583615993755,0.22993976400602167,0.2657378325786105,0.0003089117763902527,-0.0003464564029947803,-0.004306755196230805,0.0030706517699475855,0.31633958436741116,0.3141224613612926,0.3107119633954687,0.32504734082834463,0.31868831920691365,0.3146620670580416,0.3064780968104027,0.32622442474707447,0.0007041275045026607,0.0005396056967489582,-0.0012835471435690415,0.0035883280716689225,0.0580277773413696,0.10043016879836036,0.044858031561575876,0.07632269426110444
0.7,0.2760531944444444,100,0.962291550925926,0.9603309560185186,0.9609331018518519,0.9632632335069445,0.23573946799371365,0.22899489489028685,0.21816877090679548,0.24933928672373906,0.1975613140167014,0.17432954703150724,0.17972272292088942,0.22517622188919462,0.20493608780772954,0.1679787133882732,0.17684991971436523,0.22253932364485096,-0.0035894475868171183,-0.006350833643233961,-0.010449216151038498,0.0009796149709901392,0.31238349726806797,0.3183282897491502,0.304089091513952,0.3307263619748634,0.3136741461236323,0.3162775655641943,0.2986975883881831,0.3318416398620718,-0.0027281274606199,-0.0020507241849558166,-0.005766681139703911,0.0010281956906660339,0.09152627636106286,0.1439987427176429,0.07016715325878986,0.11162476876867838
0.75,0.29098222222222225,100,0.9713918402777777,0.9696766967592594,0.9698062499999999,0.9732718171296296,0.22899435621094238,0.23650991743484692,0.19981744082575126,0.2668872978947856,0.20689453496009108,-0.004875042274389727,0.13246305486658838,0.22908731951236294,0.18685808932692533,-0.01174408129302793,0.12065626763590354,0.22219122161016797,-0.004616963822455744,-0.006869039018638198,-0.01400493341953113,0.000777686056559368,0.32491051972494733,0.3228178038685647,0.3177832796942056,0.337527826251815,0.3250316213636141,0.3230791263751827,0.314899600431514,0.3392403260746686,-0.0005952471109587631,0.0002613225066180502,-0.0030366292441698084,0.0011690322055499247,0.10591853002444357,0.32769284614295435,0.07550384646122309,0.15428016439982195
0.8,0.3100981944444445,100,0.9778271990740741,0.9779764537037038,0.9767741970486111,0.9796940277777778,0.2410053844479595,0.24467657538910143,0.220319860803924,0.2633540538961072,0.12862938270624186,-0.12650128447871675,0.05569955104131663,0.1876006177712065,0.14614591487392858,-0.12583808121398543,0.011662391512935466,0.18439903680976122,0.00041889855225790695,0.0006632032647312802,-0.004801913104266309,0.007355347897980813,0.32292353256205875,0.31813547671812176,0.3042553818373015,0.3441557236455665,0.325147256398653,0.3184976499646259,0.30246056051666537,0.34256211071636206,0.0017014256177751985,0.00036217324650412275,-0.002419163005226599,0.002924563261137255,0.16168697672850735,0.44463676119683837,0.1152583107097066,0.25572567870668844
0.85,0.32655833333333334,100,0.984285300925926,0.9828900729166667,0.9818186342592593,0.9854273726851852,0.25775090379007065,0.25700513507938294,0.23960555608622508,0.2832650339754857,0.04078619181094839,-1.0638191804229016,-0.09640717838005464,0.11859847972425308,0.04814111073964367,-1.055693765589809,-0.06950417341776594,0.139015462776222,0.0005635386502906847,0.008125414833092676,-0.00859389401607519,0.0099390155186721,0.33306493838523865,0.3340303857080795,0.31611748246096616,0.35601964741867576,0.3404804253635803,0.33442986568951655,0.31406755403927566,0.35546258512485124,-0.000723798509990381,0.0003994799814370409,-0.0025444471782364864,0.003484953163154836,0.2619369286773167,1.3978495661309813,0.14173301615686074,0.3762147956122434
0.9,0.34358694444444454,100,0.988858912037037,0.9883360879629629,0.9880832754629629,0.9899218171296296,0.2333693227077795,0.2341616232045521,0.20880726976290737,0.25509778906520875,-0.07615846460965969,-1.7712285643106693,-0.227859610182511,0.08795666155136068,-0.06639789128686391,-1.7689364533010796,-0.18354842550355377,0.10941958231027354,0.015367535259283083,0.0022921110095899255,0.00810124489742752,0.032512137257009965,0.33520426899419686,0.3228599081540139,0.3064467907991339,0.3483058107781875,0.33615230842948773,0.3248649561446663,0.31274844648572875,0.3519606255451253,0.0029419472944280933,0.00200504799065239,-0.001219985663601153,0.00510019905411796,0.38706733523336223,2.0940884724646835,0.21373391867898395,0.5274078331898899
0.95,0.35874541666666654,100,0.9926770833333334,0.9920886435185186,0.9918097222222222,0.9931081582754631,0.22409691191425224,0.22468756832180248,0.18627183314015916,0.23918401766537478,-1.2501560265226002,-20.01043307984314,-2.0620833321275303,-0.6131712043946641,-1.1083100935566372,-19.58628703712494,-1.659757265541206,-0.6016780554138058,0.05860816837641014,0.42414604271819556,0.012306808731597896,0.11366817682315888,0.3230505808419191,0.33863216086092807,0.2989795868915902,0.33960510516508285,0.32575057758249326,0.3405258282739372,0.3021454599272729,0.34547104021401986,0.002334736880421129,0.0018936674130092413,-0.0011870788124034304,0.0047077296721586,1.5432659834991802,20.349065240704064,0.8854724279906859,2.400433736631366
