k_features,draw,balanced_accuracy,balanced_accuracy_normalised,balanced_accuracy_null,balanced_accuracy_null_normalised,retention_disparity,retention_disparity_null,retention_pct_lowest_survey,retention_pct_highest_survey,retention_pct_pooled,retention_pct_GEMAS,retention_pct_NASGL,retention_pct_NGSA
5,12,0.3333333333333333,0.0,0.3333333333333333,0.0,1.082416097738501,1.0081369257671713,92.16730038022814,99.76336961665878,96.24622812311407,99.76336961665878,95.82046530780318,92.16730038022814
5,13,0.606101630792747,0.8183048923782412,0.3333333333333333,0.0,5.563153688038022,1.041584688148724,17.93288037883467,99.76336961665878,51.65962582981292,99.76336961665878,17.93288037883467,98.93536121673003
5,14,0.4944758496028232,0.48342754880846966,0.3333333333333333,0.0,2.077805596690228,1.0217083304042804,47.14828897338403,97.9649787032655,88.44900422450212,97.9649787032655,95.49104385423101,47.14828897338403
5,15,0.3333333333333333,0.0,0.3333333333333333,0.0,1.7572223174049018,1.0166182282249485,55.50751492690962,97.5390440132513,71.86481593240796,97.5390440132513,55.50751492690962,91.02661596958174
5,16,0.47055746178473673,0.41167238535421025,0.3333333333333333,0.0,1.7461464448729433,1.0365905058802252,55.20912547528517,96.40321817321345,89.84912492456246,96.40321817321345,96.3763640107062,55.20912547528517
5,17,0.6649170861492771,0.9947512584478315,0.3333333333333333,0.0,346.1076330200798,1.052280903235819,0.2882437718756434,99.76336961665878,25.68497284248642,99.76336961665878,0.2882437718756434,0.45627376425855515
5,18,0.6001069944147694,0.8003209832443084,0.3333333333333333,0.0,5.462869133889329,1.0790894800892437,17.93288037883467,97.9649787032655,44.29692214846108,97.9649787032655,17.93288037883467,55.437262357414454
5,19,0.3333333333333333,0.0,0.3333333333333333,0.0,1.1460889598848065,1.011962834370736,86.98785258389952,99.69581749049429,91.93723596861798,98.48556554661619,86.98785258389952,99.69581749049429
5,20,0.3333333333333333,0.0,0.3333333333333333,0.0,3.584394290871757,1.0113798819452737,27.832699619771862,99.76336961665878,73.5666867833434,99.76336961665878,74.55219271155033,27.832699619771862
5,21,0.3333333333333333,0.0,0.3333333333333333,0.0,1.031358734637628,1.006674577539005,96.73003802281369,99.76336961665878,97.91188895594448,99.76336961665878,97.42639489396747,96.73003802281369
5,22,0.3333333333333333,0.0,0.3333333333333333,0.0,4.8982489351632745,1.0186624441508407,20.0,97.9649787032655,72.03379601689801,97.9649787032655,74.84043648342599,20.0
5,23,0.3333333333333333,0.0,0.3333333333333333,0.0,2.7550844121305533,1.0104836685349057,34.372623574144484,94.69947941315665,72.89076644538322,94.69947941315665,73.83158328186124,34.372623574144484
5,24,0.3333333333333333,0.0,0.3333333333333333,0.0,2.7025723293449033,1.026544130202108,35.51330798479088,95.97728348319924,75.76342788171394,95.97728348319924,77.86699608812025,35.51330798479088
