target,lod_ratio,random,blocked,loso,inflation_random_minus_loso,regime,representation,is_primary_arm
Th,10.0,0.9163,0.8964,0.3421,0.5742,substitution,clr,False
Tl,5.0,0.7921,0.7787,-6.1517,6.9438,substitution,clr,False
U,5.0,0.8292,0.813,0.1859,0.6433,substitution,clr,False
V,10.0,0.9316,0.9205,0.6757,0.2559,substitution,clr,False
W,10.0,0.7317,0.7048,-1.2851,2.0168,substitution,clr,False
Zn,1.111,0.8693,0.8419,0.0309,0.8384,substitution,clr,False
Ag,33.333,-9.061,-10.1456,-20.0896,11.0286,substitution,ilr,True
As,1.5,0.7232,0.6967,0.1135,0.6097,substitution,ilr,True
Be,22.0,0.2178,0.1346,-0.3761,0.5939,substitution,ilr,True
Bi,2.0,0.6903,0.6354,0.3186,0.3717,substitution,ilr,True
Ca,7.143,0.8867,0.8615,0.5272,0.3594,substitution,ilr,True
Cd,1.0,0.3291,0.2311,-0.7716,1.1007,substitution,ilr,True
Ce,1.667,0.9322,0.9141,0.3672,0.565,substitution,ilr,True
Co,1.0,0.9249,0.91,0.6772,0.2477,substitution,ilr,True
Cr,2.0,0.8847,0.8546,0.5089,0.3758,substitution,ilr,True
Cs,50.0,-1.5788,-1.8021,-5.3779,3.7991,substitution,ilr,True
Cu,2.5,0.7366,0.6678,0.1293,0.6073,substitution,ilr,True
Fe,1.0,0.9074,0.8637,0.667,0.2404,substitution,ilr,True
Hg,1.0,0.4776,0.3844,-0.3625,0.8401,substitution,ilr,True
In,6.667,0.5409,0.4722,-0.783,1.3239,substitution,ilr,True
K,2.381,0.9608,0.9582,0.7018,0.259,substitution,ilr,True
La,5.0,0.9307,0.9217,0.5628,0.3679,substitution,ilr,True
Li,10.0,0.8592,0.8383,-0.2627,1.1219,substitution,ilr,True
Mg,1.667,0.9053,0.8784,0.6052,0.3001,substitution,ilr,True
Mn,7.8,0.7841,0.7378,0.4709,0.3133,substitution,ilr,True
Mo,6.0,0.492,0.3972,-0.2766,0.7687,substitution,ilr,True
Na,1.351,0.8839,0.843,-1.0105,1.8944,substitution,ilr,True
Nb,3.333,0.95,0.9446,-0.4059,1.3559,substitution,ilr,True
Ni,1.0,0.9054,0.8954,0.5909,0.3146,substitution,ilr,True
P,2.273,0.7686,0.7241,-0.2457,1.0143,substitution,ilr,True
Pb,5.0,0.7666,0.6963,0.1183,0.6483,substitution,ilr,True
Rb,1.0,0.9516,0.9407,0.6906,0.2609,substitution,ilr,True
S,20.0,0.525,0.4416,0.0032,0.5218,substitution,ilr,True
Sb,8.0,0.0832,-0.0369,-1.7225,1.8056,substitution,ilr,True
Sc,3.0,0.9507,0.9431,0.6617,0.2889,substitution,ilr,True
Se,20.0,0.1025,0.0394,-3.9844,4.0869,substitution,ilr,True
Sn,2.0,0.7148,0.6763,0.2807,0.4341,substitution,ilr,True
Sr,2.5,0.9231,0.9002,0.702,0.2211,substitution,ilr,True
Te,5.0,-3.4603,-4.8964,-5.1289,1.6686,substitution,ilr,True
Th,10.0,0.9075,0.8836,0.2336,0.6739,substitution,ilr,True
Tl,5.0,0.7879,0.7784,-6.0928,6.8806,substitution,ilr,True
U,5.0,0.8199,0.8008,0.3681,0.4518,substitution,ilr,True
V,10.0,0.9255,0.9101,0.7323,0.1932,substitution,ilr,True
W,10.0,0.7229,0.6857,-1.4242,2.1471,substitution,ilr,True
Zn,1.111,0.857,0.8351,0.0832,0.7738,substitution,ilr,True
Ag,33.333,-5.7995,-8.1972,-131.1291,125.3297,substitution,raw,False
As,1.5,0.7353,0.7051,0.4742,0.2611,substitution,raw,False
Be,22.0,0.2442,0.193,-1.0762,1.3205,substitution,raw,False
Bi,2.0,0.7221,0.6966,0.0261,0.696,substitution,raw,False
Ca,7.143,0.8826,0.8509,0.7036,0.1789,substitution,raw,False
Cd,1.0,0.3709,0.3138,-0.0458,0.4167,substitution,raw,False
Ce,1.667,0.974,0.9676,0.9218,0.0522,substitution,raw,False
Co,1.0,0.9384,0.9233,0.8435,0.0949,substitution,raw,False
Cr,2.0,0.9003,0.879,0.2034,0.6969,substitution,raw,False
Cs,50.0,-1.1822,-1.5854,-2.4226,1.2404,substitution,raw,False
Cu,2.5,0.7517,0.7113,0.5081,0.2437,substitution,raw,False
Fe,1.0,0.9315,0.9095,0.6957,0.2358,substitution,raw,False
Hg,1.0,0.4814,0.3919,0.2199,0.2615,substitution,raw,False
In,6.667,0.6141,0.5653,-0.7858,1.3999,substitution,raw,False
K,2.381,0.9739,0.9702,0.8749,0.099,substitution,raw,False
La,5.0,0.9751,0.9709,0.948,0.0271,substitution,raw,False
Li,10.0,0.8686,0.846,0.2334,0.6351,substitution,raw,False
Mg,1.667,0.9054,0.8864,0.7433,0.1622,substitution,raw,False
Mn,7.8,0.8013,0.7664,0.6145,0.1868,substitution,raw,False
Mo,6.0,0.5062,0.4034,-0.2055,0.7117,substitution,raw,False
Na,1.351,0.8956,0.8593,0.1644,0.7313,substitution,raw,False
Nb,3.333,0.9645,0.9644,0.3715,0.5929,substitution,raw,False
Ni,1.0,0.9231,0.9107,0.7626,0.1605,substitution,raw,False
P,2.273,0.7891,0.7558,-0.3325,1.1216,substitution,raw,False
Pb,5.0,0.8077,0.7645,0.4253,0.3824,substitution,raw,False
Rb,1.0,0.9701,0.9658,0.6859,0.2841,substitution,raw,False
S,20.0,0.5477,0.496,-0.0332,0.5808,substitution,raw,False
Sb,8.0,0.1458,0.0444,-2.4804,2.6262,substitution,raw,False
Sc,3.0,0.9601,0.9556,0.6977,0.2624,substitution,raw,False
Se,20.0,0.136,0.0279,-1.3179,1.4539,substitution,raw,False
Sn,2.0,0.7458,0.7271,0.4554,0.2904,substitution,raw,False
Sr,2.5,0.9264,0.9115,0.7792,0.1472,substitution,raw,False
Te,5.0,-2.9508,-4.1301,-28.3035,25.3527,substitution,raw,False
Th,10.0,0.9266,0.9098,0.505,0.4216,substitution,raw,False
Tl,5.0,0.8284,0.823,-2.029,2.8575,substitution,raw,False
U,5.0,0.8433,0.8275,0.63,0.2132,substitution,raw,False
V,10.0,0.9411,0.9214,0.803,0.1381,substitution,raw,False
W,10.0,0.7422,0.7198,-1.0654,1.8076,substitution,raw,False
Zn,1.111,0.8853,0.8614,0.6961,0.1891,substitution,raw,False
